HF_FNCLTY_MTRAL_RCOGN_NO,PRMS_DT,BSSH_NM,INDUTY_NM,ADDR,APLC_RAWMTRL_NM,FNCLTY_CN,DAY_INTK_CN,IFTKN_ATNT_MATR_CN
2013-14,20130703,(주)오스코텍,건강기능식품벤처제조업,경기도 성남시 분당구,가시오가피숙지황복합추출물,뼈 건강에 도움을 줄 수 있음(생리활성기능 2등급),가시오가피숙지황 복합추출물로서 800mg/일,"1) 영.유아, 임산부, 수유부는 섭취에 주의
2) 알레르기 체질이거나 특정질환이 있는 사람은 섭취에 주의"
2013-31,20131017,(주)파미니티,건강기능식품벤처제조업,경기 과천시,MR-10 민들레등복합추출물,갱년기 남성의 건강에 도움을 줄 수 있음(생리활성기능 2등급),MR-10 민들레등복합추출물로서 400 mg,-
2012-31,20121109,주영엔에스(주),수입식품등 수입ㆍ판매업,서울특별시 서초구,콩발효추출물,,,
2012-32,20121109,(주)네이처텍,수입식품등 수입ㆍ판매업,충청북도 진천군,콩발효추출물,식후 혈당상승 억제에 도움을 줄 수 있음(생리활성기능 2등급),콩발효추출물로서 900 mg/일,"1) 대두에 알레르기를 나타내는 사람은 섭취 시 주의
2) 임산부, 수유부 및 어린이는 섭취 시 주의"
2014-43,20140904,(주)삼정,수입식품등 수입ㆍ판매업,서울특별시 관악구,호박씨추출물 등 복합물,방광의 배뇨기능 개선에 도움을 줄 수 있음(생리활성기능 2등급),"호박씨추출물 등 복합물로서 600 ～ 1,000 mg/일","1) 영유아, 어린이, 임산부와 수유부는 섭취에 주의2) 호박씨, 대두에 알레르기를 나타내는 사람은 섭취에 주의3) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의"
2014-44,20140911,(주)뉴트라젠,건강기능식품벤처제조업,충청북도 음성군,참당귀 추출분말(Nutragen),1) 노화로 저하된 인지기능 개선에 도움을 줄 수 있음 2) 관절건강에 도움을 줄 수 있음(생리활성기능 2등급),1) 참당귀 추출분말(Nutragen)로서 800 mg/일(인지기능 개선) 2) 참당귀추출분말(Nutragen)로서 800 mg(관절건강),"1) 소화불량, 속쓰림 등이 나타날 수 있습니다.
2) 혈액응고방지제 또는 혈당강하제를 복용하시는 분은 의사의 상담 하에 사용하여 주십시오."
2012-24,20120921,씨제이웰케어,수입식품등 수입ㆍ판매업,서울특별시 중구,Collactive 콜라겐펩타이드,"피부 보습에 도움을 줄 수 있음
(생리활성기능 2등급)",Collactive콜라겐펩타이드로서 2g/일,1) 임산부와 수유부는 섭취에 주의하시기 바랍니다.
2012-5,20120120,사빈사코리아주식회사,,서울특별시 강남구,콜레우스 포스콜리 추출물,"체지방 감소에 도움을 줄 수 있음
(생리활성기능 2등급)",콜레우스 포스콜리 추출물로서 500 mg/일,"1) 임산부, 수유여성, 어린이는 섭취에 주의"
2015-11,20150406,주식회사 헬스바이오메드,건강기능식품벤처제조업,서울특별시 강남구,인삼다당체추출물,,,
2015-22,20151104,(재)제주테크노파크,건강기능식품전문제조업,제주특별자치도 제주시,까마귀쪽나무 열매 주정추출물,관절건강에 도움을 줄 수 있음(생리활성기능 2등급),까마귀쪽나무 열매 주정추출물로서 200 mg/일,-
2013-18,20130703,(주)뉴트리플랜,건강기능식품벤처제조업,경기도 파주시,로즈힙분말,관절 및 연골 건강에 도움을 줄 수 있음(생리활성기능 2등급),로즈힙분말로서 5g/일,"1) 알레르기 반응을 보이는 사람의 경우 섭취전 성분 확인 필요함
2) 임산부, 수유부, 어린이의 섭취는 전문의와 상담 후 섭취를 권장함"
2006-3,20100401,(주)유니젠,건강기능식품전문제조업,충청남도 천안시 동남구,황금등복합물,,,
2013-13,20130605,(주)장생도라지,건강기능식품벤처제조업,경상남도 진주시,도라지추출물(DRJ-AD),"노인의 인지능력 개선에 도움을 줄 수 있으나, 인체적용시험이 미흡(생리활성기능 3등급)",도라지추출분말로서 3g/일,-
2009-50,20090605,(주)HK바이오텍,건강기능식품전문제조업,경상남도 진주시,HK 나토배양물,"혈액의 흐름을 방해할 수 있는 혈소판응집을 억제하여, 혈액흐름을 원활히 하는데 도움을 줄 수 있음(기타 II)",HK나토배양물로서 133mg,"1) 알레르기 체질이신 분은 원재료를 확인하신 후 섭취하십시오.
2) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.
3) 과다 섭취시 혈액응고가 저해되어 출혈 위험이 증가될 수 있습니다.
4) 항혈전 관련 약품(항응고제, 항혈소판제제)을 섭취하는 사람은 의사와 상담 후 섭취하여야 합니다.
5) 수술 전과 후에는 섭취를 피해야 합니다."
2016-21,20161226,(주)바이오믹스,건강기능식품벤처제조업,경기도 고양시 일산동구,오미자추출물,갱년기 여성 건강에 도움을 줄 수 있음(생리활성기능 2등급),오미자추출물로서 783 mg/일,-
2012-21,20120726,(주)사노피-아벤티스코리아,수입식품등 수입ㆍ판매업,서울특별시 강남구,유단백가수분해물(락티움),스트레스로 인한 긴장 완화에 도움을 줄 수 있음(생리활성기능 2등급),유단백가수분해물(락티움)로서 150 mg/일,"1) 임산부, 수유여성 및 어린이는 섭취에 주의
2) 우유 및 유제품에 대하여 알레르기를 나타내는 사람은 섭취에 주의"
2014-46,20141002,한국인스팜(주),건강기능식품벤처제조업,전남광주통합특별시 화순군,비파엽추출물,기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급),비파엽추출물로서 1.5g,-
2014-20,20140519,대상(주),건강기능식품벤처제조업,전북특별자치도 군산시,발효식초석류복합물,,,
2017-7,20100715,(주)HK바이오텍,건강기능식품전문제조업,경상남도 진주시,HK표고버섯균사체,,,
2017-8,20101026,(주)오스코텍,건강기능식품벤처제조업,충청남도 천안시 서북구,전칠삼추출물 등 복합물,,,
2017-10,20101224,(주)리즈바이오텍,건강기능식품벤처제조업,대전광역시 유성구,복분자추출분말,,,
2011-25,20110926,(주)후드코리아,건강기능식품전문제조업,충청남도 금산군,회화나무열매추출물,갱년기 여성의 건강에 도움을 줄 수 있음(기타기능 II),회화나무열매추출물로서 350 mg/일,1) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의
2008-32,20080617,금사머쉬앤팜,건강기능식품전문제조업,경기 여주군,금사상황버섯,면역기능 개선에 도움을 줄 수 있음(기타기능II),금사상황버섯추출물로서 3.3g/day,-
2018-14,20190102,주식회사 뉴온,수입식품등 수입ㆍ판매업,서울특별시 강남구,시서스추출물,체지방 감소에 도움,시서스추출물의 일일섭취량은 300mg/일,임산부 및 수유부는 섭취에 주의한다.
2019-2,20190408,국립원예특작과학원 인삼특작부,집단급식소,충청북도 음성군,인삼추출물,-,,
2019-3,20190408,(주)휴온스내츄럴,건강기능식품전문제조업,충청북도 진천군,깻잎추출물(PF501),체지방 감소에 도움을 줄 수 있음,,
2014-61,20141209,(주)로하스피아,수입식품등 수입ㆍ판매업,서울특별시 송파구,감마리놀렌산 함유 유지,월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급),감마리놀렌산으로서 210 ～ 300 mg/일,※「건강기능식품 기능성 원료 및 기준 규격  인정에 관한 규정」 제10조제2항에 따라 「건강기능식품의 기준 및 규격」에 고시 예정임
